implementation,from_state,trigger,to_state,persistent_change,return_source,legal_caller,recovery_name_allowed
VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,WORKING_CACHE_P_I,both current/previous feed rounds valid and deviation <=50%,WORKING_CACHE_P2_I2,valid legs stored; status working,CURRENT_PRICE_X_CURRENT_INDEX,normal fetchPrice caller,N/A_OR_WORKING_REFRESH
VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,WORKING_CACHE_P_I,price invalid or call fails; index valid,UNTRUSTED_CACHE_P_I2,valid index stored; price cache retained; status untrusted,CACHED_PRICE_X_CURRENT_INDEX,normal fetchPrice caller,WORKING_TO_UNTRUSTED
VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,UNTRUSTED_CACHE_P_I,both legs valid,WORKING_CACHE_P2_I2,both legs stored; status working,CURRENT_PRICE_X_CURRENT_INDEX,normal fetchPrice caller,UNTRUSTED_TO_WORKING
AURIGAMI_REPORTER_AGGREGATION_FALLBACK,RETAINED_MAIN_PLUS_REPORTER_HISTORY,one authorized qualifying reporter update while fewer than two reports are fresh,RAW_UPDATED_MAIN_RETAINED,one mainFeedRaw row changes; mainFeed unchanged; MainFeedFail emitted,NOT_APPLICABLE_TO_UPDATE,bound updater,RAW_ONLY_UPDATE_NOT_RECOVERY
AURIGAMI_REPORTER_AGGREGATION_FALLBACK,RAW_UPDATED_MAIN_RETAINED,second qualifying reporter update,MAIN_AGGREGATE_REFRESHED,second raw row and mainFeed change; MainFeedSync emitted,MAIN_AGGREGATE_ON_FRESH_READ,bound updater,CACHE_REFRESH
AURIGAMI_REPORTER_AGGREGATION_FALLBACK,MAIN_AGGREGATE_REFRESHED,elapsed age=7200,SAME_PERSISTED_STATE_MAIN_READ_MODE,none,MAIN_AGGREGATE,any reader,READ_MODE_ONLY
AURIGAMI_REPORTER_AGGREGATION_FALLBACK,MAIN_AGGREGATE_REFRESHED,elapsed age=7201,SAME_PERSISTED_STATE_BACKUP_READ_MODE,none,BACKUP_FEED,any reader,VIEW_TIME_SOURCE_SWITCH_NOT_PERSISTED_DEGRADATION
FATHOM_DELAYED_PRICE_FEED,DELAYED_D_LATEST_L,peekPrice eligible and source result valid,DELAYED_L_LATEST_N,delayed=old latest; latest=new source; lastUpdateTS=now,DELAYED_RECORD,any caller,DELAYED_LATEST_PROMOTION
FATHOM_DELAYED_PRICE_FEED,DELAYED_D_LATEST_L,peekPrice before lastUpdateTS+900 and delayed still fresh,DELAYED_D_LATEST_L,none,DELAYED_RECORD,any caller,NOT_ELIGIBLE_UNCHANGED
FATHOM_DELAYED_PRICE_FEED,DELAYED_D_LATEST_L,eligible peekPrice and source Error,DELAYED_D_LATEST_L,none; LogPeekPriceFailed,DELAYED_RECORD,any caller,CAUGHT_ERROR_UNCHANGED_NOT_DEGRADATION
FATHOM_DELAYED_PRICE_FEED,DELAYED_D_LATEST_L,time crosses delayed.lastUpdate+3600 without peek,SAME_RECORDS_STALE_VALIDITY_FALSE,none,DELAYED_RECORD_READPRICE,any reader,VIEW_VALIDITY_CHANGE_ONLY
