family,protocol,chain,root,snapshot,evidence_tier,original_execution_status,primary_or_secondary,infrastructure_recovery,analysis_correction,reported_age,effective_age,signed_gap,timestamp_prediction_status,formula_replay_status,paper_usable,paper_limitation,raw_evidence_locator,correction_locator,reviewer_evidence_locator
COMPOUND_MULTIPLICATIVE_PRICE_FEED,compound-finance,8453,0x4687670f5f01716faa382e2356c103bad776752c,T0,PRIMARY_EXECUTION,COMPLETE,PRIMARY_EXECUTION,false,NONE,196,81798,81602,MATCH,MATCH,true,Bounded fixed-root observation; no ecosystem prevalence or freshness-adequacy inference.,[archival locator withheld],,numeric_records/N01.json
SILO_CHAINLINKV3_MULTI_LOCAL_RESET,silo-finance,146,0x47EcdD1986D4D729cb2018C47b62B8f007d795d9,T0,CONTRACT_REVERT,MISSING_OR_REVERT,PRIMARY_EXECUTION,false,NONE,,,,NOT_ASSESSED,NOT_ASSESSED,false,Recorded EVM revert; no numeric gap and no execution confirmation of local-reset semantics.,[archival locator withheld],[archival locator withheld],numeric_records/N02.json
SILO_CHAINLINKV3_MULTI_LOCAL_RESET,silo-finance,42161,0xCEc3383AB6633672943117952B9D7C901C725E15,T0,CONTRACT_REVERT,MISSING_OR_REVERT,PRIMARY_EXECUTION,false,NONE,,,,NOT_ASSESSED,NOT_ASSESSED,false,Recorded EVM revert; no numeric gap and no execution confirmation of local-reset semantics.,[archival locator withheld],[archival locator withheld],numeric_records/N03.json
SILO_CHAINLINKV3_MULTI_LOCAL_RESET,silo-finance,43114,0x512935aAf49F89d000AaB0D8102c334876942d2C,T0,CONTRACT_REVERT,MISSING_OR_REVERT,PRIMARY_EXECUTION,false,NONE,,,,NOT_ASSESSED,NOT_ASSESSED,false,Recorded EVM revert; no numeric gap and no execution confirmation of local-reset semantics.,[archival locator withheld],[archival locator withheld],numeric_records/N04.json
VETRO_DERIVED_CROSS_RATE,vetro,1,0x33F1E44DB47400C9BD6221962712D882Adb8fFA6,T0,SECONDARY_INFRASTRUCTURE_RECOVERY,MISSING_OR_REVERT,SECONDARY_INFRASTRUCTURE_RECOVERY,true,NONE,53412,53412,0,MATCH,MATCH,true,Recovered after primary HTTP 403 using the same frozen root/block/hash/calldata; must be disclosed as secondary.,[archival locator withheld],[archival locator withheld],numeric_records/N05.json
ASYMMETRY_WBTC,asymmetry,1,0x1919de21635276a80aa3384a852df8189e1b7205,T0,SECONDARY_INFRASTRUCTURE_RECOVERY,MISSING_OR_REVERT,SECONDARY_INFRASTRUCTURE_RECOVERY,true,NONE,56940,56940,0,MATCH,MATCH,true,Recovered after primary HTTP 403 using the same frozen root/block/hash/calldata; must be disclosed as secondary.,[archival locator withheld],[archival locator withheld],numeric_records/N06.json
COMPOUND_MULTIPLICATIVE_PRICE_FEED,compound-finance,8453,0x4687670f5f01716faa382e2356c103bad776752c,T1,PRIMARY_EXECUTION,COMPLETE,PRIMARY_EXECUTION,false,NONE,352,38580,38228,MATCH,MATCH,true,Bounded fixed-root observation; no ecosystem prevalence or freshness-adequacy inference.,[archival locator withheld],,numeric_records/N07.json
SILO_CHAINLINKV3_MULTI_LOCAL_RESET,silo-finance,146,0x47EcdD1986D4D729cb2018C47b62B8f007d795d9,T1,CONTRACT_REVERT,MISSING_OR_REVERT,PRIMARY_EXECUTION,false,NONE,,,,NOT_ASSESSED,NOT_ASSESSED,false,Recorded EVM revert; no numeric gap and no execution confirmation of local-reset semantics.,[archival locator withheld],[archival locator withheld],numeric_records/N08.json
SILO_CHAINLINKV3_MULTI_LOCAL_RESET,silo-finance,42161,0xCEc3383AB6633672943117952B9D7C901C725E15,T1,CONTRACT_REVERT,MISSING_OR_REVERT,SECONDARY_INFRASTRUCTURE_RECOVERY,true,RECOVERY_CLASSIFIER_CORRECTION_001,,,,NOT_ASSESSED,NOT_ASSESSED,false,Primary provider lacked historical state; exact-hash append-only recovery correction reached a genuine EVM revert. No numeric gap.,[archival locator withheld],[archival locator withheld],numeric_records/N09.json
SILO_CHAINLINKV3_MULTI_LOCAL_RESET,silo-finance,43114,0x512935aAf49F89d000AaB0D8102c334876942d2C,T1,CONTRACT_REVERT,MISSING_OR_REVERT,PRIMARY_EXECUTION,false,NONE,,,,NOT_ASSESSED,NOT_ASSESSED,false,Recorded EVM revert; no numeric gap and no execution confirmation of local-reset semantics.,[archival locator withheld],[archival locator withheld],numeric_records/N10.json
VETRO_DERIVED_CROSS_RATE,vetro,1,0x33F1E44DB47400C9BD6221962712D882Adb8fFA6,T1,SECONDARY_INFRASTRUCTURE_RECOVERY,MISSING_OR_REVERT,SECONDARY_INFRASTRUCTURE_RECOVERY,true,NONE,24912,24912,0,MATCH,MATCH,true,Recovered after primary HTTP 403 using the same frozen root/block/hash/calldata; must be disclosed as secondary.,[archival locator withheld],[archival locator withheld],numeric_records/N11.json
ASYMMETRY_WBTC,asymmetry,1,0x1919de21635276a80aa3384a852df8189e1b7205,T1,SECONDARY_INFRASTRUCTURE_RECOVERY,MISSING_OR_REVERT,SECONDARY_INFRASTRUCTURE_RECOVERY,true,NONE,13716,13716,0,MATCH,MATCH,true,Recovered after primary HTTP 403 using the same frozen root/block/hash/calldata; must be disclosed as secondary.,[archival locator withheld],[archival locator withheld],numeric_records/N12.json
COMPOUND_MULTIPLICATIVE_PRICE_FEED,compound-finance,8453,0x4687670f5f01716faa382e2356c103bad776752c,T2,ANALYSIS_CORRECTED_EXISTING_EVIDENCE,BINDING_OR_SEMANTICS_REVIEW,PRIMARY_EXECUTION,false,COMPOUND_T2_ANALYSIS_CORRECTION_001,58,81780,81722,MATCH,MATCH_AFTER_ANALYSIS_CORRECTION,true,Original T2 execution remains BINDING_OR_SEMANTICS_REVIEW; formula match is an append-only offline correction using frozen raw evidence.,[archival locator withheld],[archival locator withheld],numeric_records/N13.json
