case_id,implementation,episode,ordinal,primary_entrypoint,primary_mutates_target,setup_since_prior_case,time_condition,controlled_input_lock,Y_input_acceptance,Y_return_source,Y_transition,condition_family,note
VA0,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,0,fetchPrice(gOHM),true,fork reset; controlled current+previous rounds,age=1,price=K; index=J; K=1000000000000000000; J=1000000000000000000,BOTH_LEGS_ACCEPTED,CURRENT_PRICE_X_CURRENT_INDEX,WORKING_REFRESH,HISTORY_BUILD,establish K/J cache by target logic
VA1,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,1,fetchPrice(gOHM),true,preserve target state,price age=14400 inclusive,price=K; index=J,BOTH_LEGS_ACCEPTED,CURRENT_PRICE_X_CURRENT_INDEX,WORKING_REFRESH,BOUNDARY,last acceptable age
VA2,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,2,fetchPrice(gOHM),true,preserve target state,price age=14401,price response K; index=J,PRICE_REJECTED_INDEX_ACCEPTED,CACHED_PRICE_X_CURRENT_INDEX,WORKING_TO_UNTRUSTED,BOUNDARY_COLLISION,same numeric construction as VA0/VA1; different provenance
VA3,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,3,fetchPrice(gOHM),true,preserve target state,next block,price feed call failure; index=J,PRICE_CALL_FAILED_INDEX_ACCEPTED,CACHED_PRICE_X_CURRENT_INDEX,UNTRUSTED_UNCHANGED,FAILURE_COLLISION,failure trigger distinct from stale trigger
VA4,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,4,fetchPrice(gOHM),true,preserve target state,age=1,price=K; index=J,BOTH_LEGS_ACCEPTED,CURRENT_PRICE_X_CURRENT_INDEX,UNTRUSTED_TO_WORKING,RETURN_TO_WORKING_COLLISION,same numeric construction; state/provenance changes
VB0,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,0,fetchPrice(gOHM),true,fork reset; controlled current+previous rounds,age=1,price=H; index=J; H=1200000000000000000; J=1000000000000000000,BOTH_LEGS_ACCEPTED,CURRENT_PRICE_X_CURRENT_INDEX,WORKING_REFRESH,ALTERNATE_HISTORY_BUILD,establish H/J cache
VB1,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,1,fetchPrice(gOHM),true,preserve target state,price age=14401,rejected current price K; index=J,PRICE_REJECTED_INDEX_ACCEPTED,CACHED_PRICE_X_CURRENT_INDEX,WORKING_TO_UNTRUSTED,HISTORY_NONCOLLISION,same current intervention as VA2; different legal cache
VB2,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,2,fetchPrice(gOHM),true,preserve target state,age=1,price=K; index=J,BOTH_LEGS_ACCEPTED,CURRENT_PRICE_X_CURRENT_INDEX,UNTRUSTED_TO_WORKING,NONCOLLISION_CONTROL,H != K fixed before execution
AA0,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,0,getUnderlyingPrice(auUSDC),false,"fork reset; updater1(K), updater2(K)",main age=0,reporter K=100000000; backup K=100000000,TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED,MAIN_AGGREGATE,MAIN_REFRESHED,HISTORY_BUILD_COLLISION,two authorized target updates precede read
AA1,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,1,getUnderlyingPrice(auUSDC),false,no target update,main age=7200 inclusive,backup K,NO_REPORT_INPUT_AT_READ,MAIN_AGGREGATE,PERSISTED_STATE_UNCHANGED,BOUNDARY,isOutdated uses > validPeriod
AA2,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,2,getUnderlyingPrice(auUSDC),false,advance one second,main age=7201,backup K,NO_REPORT_INPUT_AT_READ,BACKUP_FEED,PERSISTED_STATE_UNCHANGED,BOUNDARY_COLLISION,same scaled price expected by construction
AA3,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,3,getUnderlyingPrice(auUSDC),false,updater1(K) only; other raw records remain old,same block as update,reporter K; backup K,ONE_REPORT_ACCEPTED_AGGREGATE_NOT_REFRESHED,BACKUP_FEED,RAW_ONLY_UPDATED,INSUFFICIENT_REPORT_FAILURE_COLLISION,MainFeedFail is public O2
AA4,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,4,getUnderlyingPrice(auUSDC),false,updater2(K),same block as update,reporter K; backup K,TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED,MAIN_AGGREGATE,MAIN_REFRESHED,CACHE_REFRESH_COLLISION,not named degraded recovery
AB0,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_B,0,getUnderlyingPrice(auUSDC),false,"fork reset; updater1(H), updater2(H)",main age=0,reporter H=120000000; backup K=100000000,TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED,MAIN_AGGREGATE,MAIN_REFRESHED,ALTERNATE_HISTORY_BUILD,establish H aggregate
AB1,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_B,1,getUnderlyingPrice(auUSDC),false,no target update,main age=7201,backup K,NO_REPORT_INPUT_AT_READ,BACKUP_FEED,PERSISTED_STATE_UNCHANGED,NONCOLLISION_CONTROL,H main versus K backup
AB2,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_B,2,getUnderlyingPrice(auUSDC),false,"updater1(K), updater2(K)",same block as second update,reporter K; backup K,TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED,MAIN_AGGREGATE,MAIN_REFRESHED,SOURCE_COLLISION,backup K then main K
FA0,FATHOM_DELAYED_PRICE_FEED,F_A,0,peekPrice(),true,fork reset; K epoch + setup peek; second K epoch,eligible at >=900,pool unchanged; source symbol K; one SOURCE_EPOCH: 15 public source-oracle updates at aligned period boundaries b+1+120*i; no pool trade,SOURCE_RETRIEVAL_ACCEPTED,DELAYED_RECORD,PROMOTE_EQUAL_VALUE,HISTORY_BUILD_COLLISION,setup peek counted but not analyzed
FA1,FATHOM_DELAYED_PRICE_FEED,F_A,1,peekPrice(),true,third K epoch,eligible at >=900,pool unchanged; source K; one SOURCE_EPOCH: 15 public source-oracle updates at aligned period boundaries b+1+120*i; no pool trade,SOURCE_RETRIEVAL_ACCEPTED,DELAYED_RECORD,PROMOTE_EQUAL_VALUE,STABLE_PROMOTION_COLLISION,equal source schedule fixed
FA2,FATHOM_DELAYED_PRICE_FEED,F_A,2,peekPrice(),true,no source updates until oldest observation exceeds 1800,eligible,source getPrice must revert missing history,SOURCE_RETRIEVAL_ERROR_CAUGHT,DELAYED_RECORD,UNCHANGED_CAUGHT_ERROR,FAILURE_COLLISION,"if a different error path occurs: NOT_COMPARABLE, no repair to condition"
FA3,FATHOM_DELAYED_PRICE_FEED,F_A,3,peekPrice(),true,repair with one K epoch,eligible,pool unchanged; source K; one SOURCE_EPOCH: 15 public source-oracle updates at aligned period boundaries b+1+120*i; no pool trade,SOURCE_RETRIEVAL_ACCEPTED,DELAYED_RECORD,PROMOTE_EQUAL_VALUE,POST_FAILURE_VALID_UPDATE_COLLISION,"called valid promotion, not recovery"
FB0,FATHOM_DELAYED_PRICE_FEED,F_B,0,peekPrice(),true,fork reset; K epoch + setup peek; second K epoch,eligible,pool unchanged; source K; one SOURCE_EPOCH: 15 public source-oracle updates at aligned period boundaries b+1+120*i; no pool trade,SOURCE_RETRIEVAL_ACCEPTED,DELAYED_RECORD,PROMOTE_EQUAL_VALUE,HISTORY_BUILD_COLLISION,establish delayed/latest K
FB1,FATHOM_DELAYED_PRICE_FEED,F_B,1,peekPrice(),true,one normal pool swap token0 input=floor(anchor reserve0/100); H epoch,eligible,deterministic 1% reserve input; source symbol H; one SOURCE_EPOCH: 15 public source-oracle updates at aligned period boundaries b+1+120*i; no pool trade,SOURCE_RETRIEVAL_ACCEPTED,DELAYED_RECORD,PROMOTE_NEW_LATEST,DELAYED_COLLISION,returns delayed K while latest becomes H
FB2,FATHOM_DELAYED_PRICE_FEED,F_B,2,peekPrice(),true,second H epoch; no further trade,eligible,source H; one SOURCE_EPOCH: 15 public source-oracle updates at aligned period boundaries b+1+120*i; no pool trade,SOURCE_RETRIEVAL_ACCEPTED,DELAYED_RECORD,PROMOTE_DELAYED_TO_NEW_VALUE,NONCOLLISION_CONTROL,returns delayed H; if integer H==K then collision contrast is NOT_COMPARABLE
FC0,FATHOM_DELAYED_PRICE_FEED,F_C,0,peekPrice(),true,fork reset; two K epochs and two setup peeks; seven maintenance updates,lastUpdateTS+899,pool unchanged; source K,REFRESH_NOT_ELIGIBLE,DELAYED_RECORD,UNCHANGED_NOT_ELIGIBLE,DELAY_BOUNDARY,no retrieval
FC1,FATHOM_DELAYED_PRICE_FEED,F_C,1,peekPrice(),true,advance one second; no target call in between,lastUpdateTS+900 inclusive,pool unchanged; maintained source K,SOURCE_RETRIEVAL_ACCEPTED,DELAYED_RECORD,PROMOTE_EQUAL_VALUE,DELAY_BOUNDARY_COLLISION,peek condition uses >=
FC2,FATHOM_DELAYED_PRICE_FEED,F_C,2,readPrice(),false,no target mutation,delayed.lastUpdate+3600 inclusive,none,SOURCE_NOT_EVALUATED_RETAINED_VALID,DELAYED_RECORD,PURE_READ_UNCHANGED,FRESHNESS_BOUNDARY,retained-record acceptance is computed from time; isPriceFresh belongs to O2 evidence
FC3,FATHOM_DELAYED_PRICE_FEED,F_C,3,readPrice(),false,advance one second,delayed.lastUpdate+3601,none,SOURCE_NOT_EVALUATED_RETAINED_STALE,DELAYED_RECORD,PURE_READ_UNCHANGED,FRESHNESS_BOUNDARY_COLLISION,same readPrice; retained-record acceptance differs independently of public getter
