pair_id,implementation,left_case,right_case,pair_role,predeclared_Y_relation,numeric_relation_design,scientific_purpose,replacement_if_failed
PV01,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA1,VA2,BOUNDARY_INFORMATIVE,DIFFERENT,COLLISION_BY_EQUAL_K_J,inclusive/exclusive freshness boundary,PROHIBITED
PV02,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA0,VA2,PROVENANCE_COLLISION,DIFFERENT,COLLISION_BY_EQUAL_K_J,current versus cached leg,PROHIBITED
PV03,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA2,VA3,TRIGGER_COLLISION,DIFFERENT,COLLISION_BY_RETAINED_K_J,stale rejection versus call failure,PROHIBITED
PV04,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA2,VA4,RETURN_TO_WORKING_COLLISION,DIFFERENT,COLLISION_BY_EQUAL_K_J,cached/untrusted versus current/working,PROHIBITED
PV05,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VB1,VB2,NONCOLLISION_CONTROL,DIFFERENT,NONCOLLISION_H_J_VS_K_J,show value-only separation when cache differs,PROHIBITED
PV06,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA2,VB1,HISTORY_MATCHED,SAME_ENUM_DIFFERENT_PREHISTORY,NONCOLLISION_K_J_VS_H_J,"same current intervention, legal histories differ",PROHIBITED
PA01,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA1,AA2,BOUNDARY_INFORMATIVE,DIFFERENT,COLLISION_MAIN_K_VS_BACKUP_K,7200 versus 7201,PROHIBITED
PA02,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA0,AA2,SOURCE_COLLISION,DIFFERENT,COLLISION_MAIN_K_VS_BACKUP_K,main versus backup,PROHIBITED
PA03,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA2,AA3,RAW_HISTORY_COLLISION,DIFFERENT,COLLISION_BACKUP_K,raw-only accepted update is publicly visible,PROHIBITED
PA04,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA3,AA4,CACHE_REFRESH_COLLISION,DIFFERENT,COLLISION_BACKUP_K_VS_MAIN_K,raw-only/backup versus refreshed/main,PROHIBITED
PA05,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AB0,AB1,NONCOLLISION_CONTROL,DIFFERENT,NONCOLLISION_MAIN_H_VS_BACKUP_K,source switch with different values,PROHIBITED
PA06,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AB1,AB2,SOURCE_COLLISION,DIFFERENT,COLLISION_BACKUP_K_VS_MAIN_K,same output across source change,PROHIBITED
PA07,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA2,AB1,STABILITY_CONTROL,SAME,COLLISION_BACKUP_K,different episodes with same reference class,PROHIBITED
PF01,FATHOM_DELAYED_PRICE_FEED,FA0,FA1,STABLE_PROMOTION_CONTROL,SAME,COLLISION_STABLE_K,repeat transition is not an independent sample,PROHIBITED
PF02,FATHOM_DELAYED_PRICE_FEED,FA1,FA2,FAILURE_COLLISION,DIFFERENT,COLLISION_RETAINED_K,successful promotion versus caught error,PROHIBITED
PF03,FATHOM_DELAYED_PRICE_FEED,FA2,FA3,POST_FAILURE_COLLISION,DIFFERENT,COLLISION_RETAINED_K,caught error versus later valid promotion; not called recovery,PROHIBITED
PF04,FATHOM_DELAYED_PRICE_FEED,FB0,FB1,DELAYED_COLLISION,DIFFERENT,COLLISION_DELAYED_K,latest changes while returned delayed value remains K,PROHIBITED
PF05,FATHOM_DELAYED_PRICE_FEED,FB1,FB2,NONCOLLISION_CONTROL,DIFFERENT,NONCOLLISION_K_VS_H,delayed value advances,PROHIBITED
PF06,FATHOM_DELAYED_PRICE_FEED,FC0,FC1,DELAY_BOUNDARY,DIFFERENT,COLLISION_STABLE_K,899 versus 900 eligibility,PROHIBITED
PF07,FATHOM_DELAYED_PRICE_FEED,FC2,FC3,PUBLIC_VALIDITY_COLLISION,DIFFERENT,COLLISION_SAME_DELAYED_RECORD,independent time predicate changes retained-record acceptance; tests whether O2 validity resolves value equality,PROHIBITED
PF08,FATHOM_DELAYED_PRICE_FEED,FA1,FB1,LATEST_STATE_COLLISION,DIFFERENT,COLLISION_RETURN_K,equal delayed return but latest state differs,PROHIBITED
