pair_id,implementation,left_case,right_case,pair_role,predeclared_Y_relation,numeric_relation_design,scientific_purpose,replacement_if_failed,status,Y_equal,O1_equal,O2_equal,O3_equal,O2_informative_split,O3_informative_split,construction_result,separating_evidence
PV01,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA1,VA2,BOUNDARY_INFORMATIVE,DIFFERENT,COLLISION_BY_EQUAL_K_J,inclusive/exclusive freshness boundary,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,status 0->0 versus 0->1 and events
PV02,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA0,VA2,PROVENANCE_COLLISION,DIFFERENT,COLLISION_BY_EQUAL_K_J,current versus cached leg,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,cache/status pre/post and events
PV03,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA2,VA3,TRIGGER_COLLISION,DIFFERENT,COLLISION_BY_RETAINED_K_J,stale rejection versus call failure,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,pre-status/transition events differ; does not isolate trigger independently of history
PV04,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA2,VA4,RETURN_TO_WORKING_COLLISION,DIFFERENT,COLLISION_BY_EQUAL_K_J,cached/untrusted versus current/working,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,status 0->1 versus 1->0
PV05,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VB1,VB2,NONCOLLISION_CONTROL,DIFFERENT,NONCOLLISION_H_J_VS_K_J,show value-only separation when cache differs,PROHIBITED,EVALUABLE,False,False,False,False,False,False,MATCHES_PREDECLARED_NUMERIC_RELATION,returned 1.2e18 versus 1e18
PV06,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,VA2,VB1,HISTORY_MATCHED,SAME_ENUM_DIFFERENT_PREHISTORY,NONCOLLISION_K_J_VS_H_J,"same current intervention, legal histories differ",PROHIBITED,EVALUABLE,True,False,False,False,False,False,MATCHES_PREDECLARED_NUMERIC_RELATION,different retained price histories within same Y enumeration
PA01,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA1,AA2,BOUNDARY_INFORMATIVE,DIFFERENT,COLLISION_MAIN_K_VS_BACKUP_K,7200 versus 7201,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,isFromMainFeed true versus false
PA02,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA0,AA2,SOURCE_COLLISION,DIFFERENT,COLLISION_MAIN_K_VS_BACKUP_K,main versus backup,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,isFromMainFeed and prefix history
PA03,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA2,AA3,RAW_HISTORY_COLLISION,DIFFERENT,COLLISION_BACKUP_K,raw-only accepted update is publicly visible,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,raw1 updated with aggregate unchanged; prefix MainFeedFail
PA04,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,AA3,AA4,CACHE_REFRESH_COLLISION,DIFFERENT,COLLISION_BACKUP_K_VS_MAIN_K,raw-only/backup versus refreshed/main,PROHIBITED,EVALUABLE,False,True,False,False,True,False,MATCHES_PREDECLARED_NUMERIC_RELATION,MainFeedSync/aggregate refresh and isFromMainFeed
